dia,semana_epidemiologica
2021-02-08,6/21
2021-02-09,6/21
2021-02-10,6/21
2021-02-11,6/21
2021-02-12,6/21
2021-02-13,6/21
2021-02-14,7/21
2021-02-15,7/21
2021-02-16,7/21
2021-02-17,7/21
2021-02-18,7/21
2021-02-19,7/21
2021-02-20,7/21
2021-02-21,8/21
2021-02-22,8/21
2021-02-23,8/21
2021-02-24,8/21
2021-02-25,8/21
2021-02-26,8/21
2021-02-27,8/21
2021-02-28,9/21
2021-03-01,9/21
2021-03-02,9/21
2021-03-03,9/21
2021-03-04,9/21
2021-03-05,9/21
2021-03-06,9/21
2021-03-07,10/21
2021-03-08,10/21
2021-03-09,10/21
2021-03-10,10/21
2021-03-11,10/21
2021-03-12,10/21
2021-03-13,10/21
2021-03-14,11/21
2021-03-15,11/21
2021-03-16,11/21
2021-03-17,11/21
2021-03-18,11/21
2021-03-19,11/21
2021-03-20,11/21
2021-03-21,12/21
2021-03-22,12/21
2021-03-23,12/21
2021-03-24,12/21
2021-03-25,12/21
2021-03-26,12/21
2021-03-27,12/21
2021-03-28,13/21
2021-03-29,13/21
2021-03-30,13/21
2021-03-31,13/21
2021-04-01,13/21
2021-04-02,13/21
2021-04-03,13/21
2021-04-04,14/21
2021-04-05,14/21
2021-04-06,14/21
2021-04-07,14/21
2021-04-08,14/21
2021-04-09,14/21
2021-04-10,14/21
2021-04-11,15/21
2021-04-12,15/21
2021-04-13,15/21
2021-04-14,15/21
2021-04-15,15/21
2021-04-16,15/21
2021-04-17,15/21
2021-04-18,16/21
2021-04-19,16/21
2021-04-20,16/21
2021-04-21,16/21
2021-04-22,16/21
2021-04-23,16/21
2021-04-24,16/21
2021-04-25,17/21
2021-04-26,17/21
2021-04-27,17/21
2021-04-28,17/21
2021-04-29,17/21
2021-04-30,17/21
2021-05-01,17/21
2021-05-02,18/21
2021-05-03,18/21
2021-05-04,18/21
2021-05-05,18/21
2021-05-06,18/21
2021-05-07,18/21
2021-05-08,18/21
2021-05-09,19/21
2021-05-10,19/21
2021-05-11,19/21
2021-05-12,19/21
2021-05-13,19/21
2021-05-14,19/21
2021-05-15,19/21
2021-05-16,20/21
2021-05-17,20/21
2021-05-18,20/21
2021-05-19,20/21
2021-05-20,20/21
2021-05-21,20/21
2021-05-22,20/21
2021-05-23,21/21
2021-05-24,21/21
2021-05-25,21/21
2021-05-26,21/21
2021-05-27,21/21
2021-05-28,21/21
2021-05-29,21/21
2021-05-30,22/21
2021-05-31,22/21
2021-06-01,22/21
2021-06-02,22/21
2021-06-03,22/21
2021-06-04,22/21
2021-06-05,22/21
2021-06-06,23/21
2021-06-07,23/21
2021-06-08,23/21
2021-06-09,23/21
2021-06-10,23/21
2021-06-11,23/21
2021-06-12,23/21
2021-06-13,24/21
2021-06-14,24/21
2021-06-15,24/21
2021-06-16,24/21
2021-06-17,24/21
2021-06-18,24/21
2021-06-19,24/21
2021-06-20,25/21
2021-06-21,25/21
2021-06-22,25/21
2021-06-23,25/21
2021-06-24,25/21
2021-06-25,25/21
2021-06-26,25/21
2021-06-27,26/21
2021-06-28,26/21
2021-06-29,26/21
2021-06-30,26/21
2021-07-01,26/21
2021-07-02,26/21
2021-07-03,26/21
2021-07-04,27/21
2021-07-05,27/21
2021-07-06,27/21
2021-07-07,27/21
2021-07-08,27/21
2021-07-09,27/21
2021-07-10,27/21
2021-07-11,28/21
2021-07-12,28/21
2021-07-13,28/21
2021-07-14,28/21
2021-07-15,28/21
2021-07-16,28/21
2021-07-17,28/21
2021-07-18,29/21
2021-07-19,29/21
2021-07-20,29/21
2021-07-21,29/21
2021-07-22,29/21
2021-07-23,29/21
2021-07-24,29/21
2021-07-25,30/21
2021-07-26,30/21
2021-07-27,30/21
2021-07-28,30/21
2021-07-29,30/21
2021-07-30,30/21
2021-07-31,30/21
2021-08-01,31/21
2021-08-02,31/21
2021-08-03,31/21
2021-08-04,31/21
2021-08-05,31/21
2021-08-06,31/21
2021-08-07,31/21
2021-08-08,32/21
2021-08-09,32/21
2021-08-10,32/21
2021-08-11,32/21
2021-08-12,32/21
2021-08-13,32/21
2021-08-14,32/21
2021-08-15,33/21
2021-08-16,33/21
2021-08-17,33/21
2021-08-18,33/21
2021-08-19,33/21
2021-08-20,33/21
2021-08-21,33/21
2021-08-22,34/21
2021-08-23,34/21
2021-08-24,34/21
2021-08-25,34/21
2021-08-26,34/21
2021-08-27,34/21
2021-08-28,34/21
2021-08-29,35/21
2021-08-30,35/21
2021-08-31,35/21
2021-09-01,35/21
2021-09-02,35/21
