codigo_ibge,regiao_covid,codigo_regiao_covid
4316758,LAJEADO - R29 R30,20
4316808,SANTA CRUZ DO SUL - R28,19
4316972,URUGUAIANA - R03,2
4316907,SANTA MARIA - R01 R02,1
4316956,NOVO HAMBURGO - R07,5
4317202,SANTA ROSA - R14,11
4317251,CAXIAS DO SUL - R23 R24 R25 R26,17
4317301,PELOTAS - R21,15
4317004,PELOTAS - R21,15
4317103,URUGUAIANA - R03,2
4317400,SANTA MARIA - R01 R02,1
4317509,SANTO ANGELO - R11,8
4317608,CAPAO DA CANOA - R04 R05,3
4317707,SANTO ANGELO - R11,8
4317558,PASSO FUNDO - R17 R18 R19,14
4317756,PASSO FUNDO - R17 R18 R19,14
4317806,IJUI - R13,10
4317905,SANTA ROSA - R14,11
4317954,PASSO FUNDO - R17 R18 R19,14
4318002,SANTO ANGELO - R11,8
4318051,PASSO FUNDO - R17 R18 R19,14
4318101,SANTA MARIA - R01 R02,1
4318200,TAQUARA - R06,4
4318309,URUGUAIANA - R03,2
4318408,PORTO ALEGRE - R09 R10,7
4318424,PASSO FUNDO - R17 R18 R19,14
4318432,SANTA MARIA - R01 R02,1
4318440,CAXIAS DO SUL - R23 R24 R25 R26,17
4318457,PALMEIRA DAS MISSOES - R15 R20,12
4318465,LAJEADO - R29 R30,20
4318481,NOVO HAMBURGO - R07,5
4318499,SANTA ROSA - R14,11
4318507,PELOTAS - R21,15
4318606,PASSO FUNDO - R17 R18 R19,14
4318614,CANOAS - R08,6
4318622,CAXIAS DO SUL - R23 R24 R25 R26,17
4318705,NOVO HAMBURGO - R07,5
4318804,PELOTAS - R21,15
4318903,SANTO ANGELO - R11,8
4319000,CAXIAS DO SUL - R23 R24 R25 R26,17
4319109,IJUI - R13,10
4319125,SANTA MARIA - R01 R02,1
4319158,SANTO ANGELO - R11,8
4319208,SANTO ANGELO - R11,8
4319307,SANTA ROSA - R14,11
4319356,CANOAS - R08,6
4319364,PALMEIRA DAS MISSOES - R15 R20,12
4319372,SANTO ANGELO - R11,8
4319406,SANTA MARIA - R01 R02,1
4319505,CANOAS - R08,6
4319604,SANTA MARIA - R01 R02,1
4319703,ERECHIM - R16,13
4319711,LAJEADO - R29 R30,20
4319737,IJUI - R13,10
4319752,CAXIAS DO SUL - R23 R24 R25 R26,17
4319802,SANTA MARIA - R01 R02,1
4319901,NOVO HAMBURGO - R07,5
4320008,CANOAS - R08,6
4320107,PALMEIRA DAS MISSOES - R15 R20,12
4320206,PALMEIRA DAS MISSOES - R15 R20,12
4320230,IJUI - R13,10
4320263,CACHOEIRA DO SUL - R27,18
4320305,CRUZ ALTA - R12,9
4320321,SANTA ROSA - R14,11
4320354,PORTO ALEGRE - R09 R10,7
4320404,PASSO FUNDO - R17 R18 R19,14
4320453,LAJEADO - R29 R30,20
4320503,PASSO FUNDO - R17 R18 R19,14
4320552,PORTO ALEGRE - R09 R10,7
4320578,SANTO ANGELO - R11,8
4320602,ERECHIM - R16,13
4320651,SANTA MARIA - R01 R02,1
4320677,SANTA CRUZ DO SUL - R28,19
4320701,CACHOEIRA DO SUL - R27,18
4320800,PASSO FUNDO - R17 R18 R19,14
4320859,CANOAS - R08,6
4320909,PASSO FUNDO - R17 R18 R19,14
4321006,PASSO FUNDO - R17 R18 R19,14
4321105,PORTO ALEGRE - R09 R10,7
4321204,TAQUARA - R06,4
4321303,LAJEADO - R29 R30,20
4321329,PALMEIRA DAS MISSOES - R15 R20,12
